"iConsumed","iWine","Type","Consumed","ConsumedYear","ConsumedQuarter","ConsumedMonth","ConsumedDay","ConsumedWeekday","Size","ShortType","Currency","ExchangeRate","Value","Price","NativePrice","NativePriceCurrency","NativeRevenue","NativeRevenueCurrency","Revenue","RevenueCurrency","RevenueExchangeRate","ConsumptionNote","PurchaseNote","BottleNote","Location","Bin","Vintage","Wine","Locale","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"214853822","5344883","White","3/8/2026","2026","Q1","3","8","1","750ml","Drank","USD","1","23.9803","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2023","Ch�teau de Nages Costi�res-de-N�mes Blanc JT","France, Rh�ne, Southern Rh�ne, Costi�res-de-N�mes","White","Dry","White Rhone Blend","White Rhone Blend","Blanc JT","Unknown","France","Rh�ne","Southern Rh�ne","Costi�res-de-N�mes"
"210784957","4389031","Red","2/11/2026","2026","Q1","2","11","4","750ml","Drank","USD","1","50.7569","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2021","Ayres Vineyard Pinot Noir Pioneer Ribbon Ridge","USA, Oregon, Willamette Valley, Ribbon Ridge","Red","Dry","Pinot Noir","Pinot Noir","Pioneer","Unknown","USA","Oregon","Willamette Valley","Ribbon Ridge"
"210785033","4698041","White","2/11/2026","2026","Q1","2","11","4","750ml","Drank","USD","1","36.4571","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2022","Jaffurs Roussanne Stolpman Vineyard","USA, California, Central Coast, Ballard Canyon","White","Dry","Roussanne","Roussanne","Unknown","Stolpman Vineyard","USA","California","Central Coast","Ballard Canyon"
"210784684","4333998","Red","11/28/2025","2025","Q4","11","28","6","750ml","Drank","USD","1","95.483","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2020","Booker Vineyard Syrah Fracture Extended","USA, California, Central Coast, Paso Robles","Red","Dry","Syrah","Syrah","Fracture Extended","Unknown","USA","California","Central Coast","Paso Robles"
"213010747","5200982","Red","11/28/2025","2025","Q4","11","28","6","750ml","Drank","USD","1","26.3666","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2020","Bodegas Luis Gurpegui Muga Navarra Mendiani Reserva","Spain, Navarra","Red","Dry","Red Blend","Red Blend","Mendiani Reserva","Unknown","Spain","Navarra","Unknown","Navarra"
"213011085","5163426","White","11/27/2025","2025","Q4","11","27","5","750ml","Drank","USD","1","29.994","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2022","Cave Vinicole de Kientzheim-Kaysersberg Riesling Schlossberg Anne de K","France, Alsace, Alsace Grand Cru","White","Dry","Riesling","Riesling","Anne de K","Schlossberg","France","Alsace","Unknown","Alsace Grand Cru"
"213065444","5280138","Red","11/27/2025","2025","Q4","11","27","5","750ml","Drank","USD","1","68.2483","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2023","Domaine Clos de la Chapelle Beaune 1er Cru Champs Pimont","France, Burgundy, C�te de Beaune, Beaune 1er Cru","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Champs Pimont","France","Burgundy","C�te de Beaune","Beaune 1er Cru"
"210785045","4904372","White","11/27/2025","2025","Q4","11","27","5","750ml","Drank","USD","1","50.4783","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2022","Denner Theresa","USA, California, Central Coast, Paso Robles Willow Creek District","White","Dry","White Rhone Blend","White Rhone Blend","Theresa","Unknown","USA","California","Central Coast","Paso Robles Willow Creek District"
"211154436","5021454","White","11/7/2025","2025","Q4","11","7","6","750ml","Drank","USD","1","18.2979","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2022","Pierre Sparr Riesling Grande R�serve","France, Alsace","White","Dry","Riesling","Riesling","Grande R�serve","Unknown","France","Alsace","Unknown","Alsace"
"212172119","4835469","Red","10/26/2025","2025","Q4","10","26","1","750ml","Drank","USD","1","42.156","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2020","Giorgio Pelissero Barbaresco Nubiola","Italy, Piedmont, Langhe, Barbaresco","Red","Dry","Nebbiolo","Nebbiolo","Nubiola","Unknown","Italy","Piedmont","Langhe","Barbaresco"
"210784737","5018173","White","10/23/2025","2025","Q4","10","23","5","750ml","Drank","USD","1","50.2479","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2023","Lail Vineyards Sauvignon Blanc Blueprint","USA, California, Napa Valley, Yountville","White","Dry","Sauvignon Blanc","Sauvignon Blanc","Blueprint","Unknown","USA","California","Napa Valley","Yountville"
"210784571","3248307","Red","10/23/2025","2025","Q4","10","23","5","750ml","Drank","USD","1","90.2214","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2017","Paul Lato Pinot Noir Lancelot Pisoni Vineyard","USA, California, Central Coast, Santa Lucia Highlands","Red","Dry","Pinot Noir","Pinot Noir","Lancelot","Pisoni Vineyard","USA","California","Central Coast","Santa Lucia Highlands"
"211601444","4879724","Red","10/13/2025","2025","Q4","10","13","2","750ml","Drank","USD","1","28.1142","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2018","Ch�teau Malartic-Lagravi�re Le Comte de Malartic","France, Bordeaux, Graves, Pessac-L�ognan","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Le Comte de Malartic","Unknown","France","Bordeaux","Graves","Pessac-L�ognan"
"211601929","3556062","Red","10/13/2025","2025","Q4","10","13","2","750ml","Drank","USD","1","35.8902","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2017","Ch�teau Malartic-Lagravi�re La R�serve de Malartic","France, Bordeaux, Graves, Pessac-L�ognan","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","La R�serve de Malartic","Unknown","France","Bordeaux","Graves","Pessac-L�ognan"
"211154449","3773652","Red","10/4/2025","2025","Q4","10","4","7","750ml","Drank","USD","1","27.5981","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2016","C.V.N.E. (Compa��a Vin�cola del Norte de Espa�a) Rioja Cune Gran Reserva","Spain, La Rioja, La Rioja Alta, Rioja","Red","Dry","Tempranillo Blend","Tempranillo","Cune Gran Reserva","Unknown","Spain","La Rioja","La Rioja Alta","Rioja"
"210784659","2794331","Red","10/4/2025","2025","Q4","10","4","7","750ml","Drank","USD","1","121.3176","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2014","Marston Family Vineyard Cabernet Sauvignon","USA, California, Napa Valley, Spring Mountain District","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","USA","California","Napa Valley","Spring Mountain District"
"210784848","5082263","Red","10/4/2025","2025","Q4","10","4","7","750ml","Drank","USD","1","34.7545","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2022","Rombauer Vineyards Zinfandel California","USA, California","Red","Dry","Zinfandel","Zinfandel","Unknown","Unknown","USA","California","Unknown","California"
"210785103","5191520","Orange","10/4/2025","2025","Q4","10","4","7","750ml","Drank","USD","1","19.8844","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2023","Albino Armani Pinot Grigio Colle Ara","Italy, Trentino-Alto Adige, Trentino, Valdadige Terra dei Forti","Orange","Dry","Pinot Grigio","Pinot Gris","Colle Ara","Unknown","Italy","Trentino-Alto Adige","Trentino","Valdadige Terra dei Forti"
"210785138","4928601","White","10/4/2025","2025","Q4","10","4","7","750ml","Drank","USD","1","27.3064","0","0","USD","0","USD","0","USD","1","","","","Cellar","","2023","Cantina Terlan Sauvignon Terlano Winkl","Italy, Trentino-Alto Adige, Alto Adige, Terlano","White","Dry","Sauvignon","Sauvignon Blanc","Unknown","Winkl","Italy","Trentino-Alto Adige","Alto Adige","Terlano"
